cik,sic,company,loc
0000930559,6189,"CHASE MANHATTAN BANK N A",NY
0000930743,6189,"WACHOVIA COMMERCIAL MORTGAGE INC 1999-1",CA
0000931152,6189,"CNH RECEIVABLES INC",IL
0000931494,6189,"CIT GROUP SECURITIZATION CORP II",NJ
0000931781,6189,"SPIEGEL CREDIT CORP III",IL
0000931866,6189,"SPIEGEL CREDIT CORP III",DE
0000932131,6189,"AUTO ONE SECURITIZATION CORP",TX
0000932625,6189,"FIRST FEDERAL SAVINGS BANK OF PUERTO RICO",PR
0000932858,6189,"RESIDENTIAL ASSET SECURITIES CORP",MN
0000933505,6189,"EQUIVANTAGE ACCEPTANCE CORP",TX
0000934377,6189,"BANC OF AMERICA FUNDING CORP",MD
0000934841,6189,"NATIONAL CITY BANK OF MICHIGAN / ILLINOIS",OH
0000934843,6189,"NATIONAL CITY CREDIT CARD MASTER TRUST",OH
0000934844,6189,"NEIMAN MARCUS FUNDING CORP",TX
0000936157,6189,"MID STATE TRUST IV",DE
0000936514,6189,"BENEFICIAL MORTGAGE CORP",DE
0000936988,6189,"BA Master Credit Card Trust II",DE
0000937863,6189,"COPELAND COMPANIES",NJ
0000937940,6189,"MERCANTILE CREDIT CARD MASTER TRUST",IL
0000939663,6189,"NOMURA ASSET SEC CORP COM MORT PAS THRO CER SER 1994-C3",IL
0000940182,6189,"FCC RECEIVABLES CORP",UT
0000942177,6189,"FIRST SECURITY BANK NA",UT
0000943489,6189,"CitiMortgage, Inc.",MO
0000943551,6189,"PDC 1994-D LIMITED PARTNERSHIP",WV
0000943570,6189,"WESTPOINT STEVENS REC MAS TR FL RT TRAD REC PAR CE SE 1994-1",GA
0000943630,6189,"RYLAND MORTGAGE SECURITIES CORP SERIES 1995-1 MORT PARTICIP",MD
0000943970,6189,"HOUSEHOLD REVOLVING HOME EQUITY LOAN TRUST 1995-1",IL
0000944714,6189,"GUARANTEED EXPORT TRUSTS PDVSA 1996 A",NY
0000944743,6189,"SOUTHERN PACIFIC SECURED ASSETS CORP",MD
0000945197,6189,"CHEVY CHASE AUTO RECEIVABLES TRUST 1995-1",MD
0000945207,6189,"HOUSEHOLD PRIVATE LABEL CREDIT CARD MASTER TRUST II",IL
0000945212,6189,"RESIDENTIAL FUNDING MORTGAGE SECURITIES II INC",MN
0000945220,6189,"SAXON MORTGAGE SECURITIES CORP SERIES 1995-1 TRUST",MD
0000945316,6189,"CCB HOLDING CORP",DE
0000945362,6189,"FIRST ALLIANCE MORTGAGE LOAN TRUST 1995-1",CA
0000945479,6189,"HOUSEHOLD CAPITAL TRUST I",IL
0000945480,6189,"EQUICON MORTGAGE LOAN TRUST 1995-1",MD
0000946071,6189,"FIRST SECURITY AUTO GRANTOR TRUST 1995-A",UT
0000946115,6189,"TARGET RECEIVABLES CORP",MN
0000946812,6189,"BEAR STEARNS ASSET BACKED SECURITIES INC",NY
0000947117,6189,"UNIVERSAL BANK NA",GA
0000947183,6189,"AT&T UNIVERSAL CARD MASTER TRUST",NY
0000947875,6189,"HONDA AUTO RECEIVABLES 1995-A GRANTOR TRUST",CA
0000947902,6189,"CHASE MANHATTAN GRANTOR TRUST 1995-A",NY
0000947991,6189,"CAPMARK MORTGAGE SECURITIES INC",PA
0000948042,6189,"VANDERBILT MORT & FIN INC MAN HO CO SE SU PA TH CE SE 1995-A",TN
0000948268,6189,"CRIIMI MAE FINANCIAL CORP",MD
0000948409,6189,"CATERPILLAR FINANCIAL FUNDING CORP",NV
0000948710,6189,"TL LEASE FUNDING CORP IV",DE
0000948847,6189,"HOUSEHOLD CONSUMER LOAN CORP",IL
0000948848,6189,"HOUSEHOLD FINANCE CORP HOUSEHOLD CONSUMER LN TRUST 1995-1 /",IL
